Team;Type;Rank;Date;Round;Venue;Scorer;Opponent;Start;xG;PSxG;Body Part;Distance;Minute;Score;Goalkeeper;Assist;GCA1;Type GCA1;GCA2;Type GCA2;Note;Motion
Arsenal;Against;1;12/08/2023;Matchweek 1;Home;Taiwo Awoniyi;Nott'ham Forest;N;0.57;0.87;Right Foot;6;82;0-2;Aaron Ramsdale;Anthony Elanga;Anthony Elanga;Pass (Live);Taiwo Awoniyi;Pass (Live);;In Game
Arsenal;For;1;12/08/2023;Matchweek 1;Home;Eddie Nketiah;Nott'ham Forest;Y;0.11;0.02;Right Foot;14;26;0-0;Matt Turner;Martinelli;Martinelli;Take-On;Thomas Partey;Pass (Live);Deflected;In Game
Arsenal;For;2;12/08/2023;Matchweek 1;Home;Bukayo Saka;Nott'ham Forest;Y;0.04;0.60;Left Foot;23;32;1-0;Matt Turner;William Saliba;William Saliba;Pass (Live);Thomas Partey;Pass (Live);;In Game
Aston Villa;Against;1;12/08/2023;Matchweek 1;Away;Sandro Tonali;Newcastle Utd;Y;0.22;0.90;Right Foot;7;6;0-0;Emiliano Martínez;Anthony Gordon;Anthony Gordon;Pass (Live);Joelinton;Pass (Live);Volley;In Game
Aston Villa;Against;2;12/08/2023;Matchweek 1;Away;Alexander Isak;Newcastle Utd;Y;0.44;0.32;Right Foot;10;16;01-janv;Emiliano Martínez;Sven Botman;Sven Botman;Pass (Live);Sandro Tonali;Pass (Live);;In Game
Aston Villa;Against;3;12/08/2023;Matchweek 1;Away;Alexander Isak;Newcastle Utd;Y;0.08;0.54;Right Foot;10;58;02-janv;Emiliano Martínez;;Bruno Guimarães;Pass (Live);Bruno Guimarães;Take-On;;In Game
Aston Villa;Against;4;12/08/2023;Matchweek 1;Away;Callum Wilson;Newcastle Utd;N;0.47;0.78;Right Foot;10;77;03-janv;Emiliano Martínez;Harvey Barnes;Harvey Barnes;Pass (Live);Sandro Tonali;Pass (Live);;In Game
Aston Villa;Against;5;12/08/2023;Matchweek 1;Away;Harvey Barnes;Newcastle Utd;N;0.53;0.95;Right Foot;10;90+1;04-janv;Emiliano Martínez;Jacob Murphy;Jacob Murphy;Pass (Live);Jacob Murphy;Take-On;;In Game
Aston Villa;For;1;12/08/2023;Matchweek 1;Away;Moussa Diaby;Newcastle Utd;Y;0.13;0.13;Right Foot;14;11;0-1;Nick Pope;Ollie Watkins;Ollie Watkins;Pass (Live);Douglas Luiz;Pass (Live);Volley;In Game
Bournemouth;Against;1;12/08/2023;Matchweek 1;Home;Jarrod Bowen;West Ham;Y;0.04;0.51;Left Foot;27;51;0-0;Neto;Tomáš Souček;Tomáš Souček;Pass (Live);Pablo Fornals;Tackle;;In Game
Bournemouth;For;1;12/08/2023;Matchweek 1;Home;Dominic Solanke;West Ham;Y;0.87;0.97;Right Foot;4;82;0-1;Alphonse Areola;;Dominic Solanke;Take-On;Antoine Semenyo;Shot;;In Game
Brentford;Against;1;13/08/2023;Matchweek 1;Home;Cristian Romero;Tottenham;Y;0.58;0.62;Head;5;11;0-0;Mark Flekken;James Maddison;James Maddison;Pass (Dead);James Maddison;Fouled;;Set Piece
Brentford;Against;2;13/08/2023;Matchweek 1;Home;Emerson;Tottenham;Y;0.03;0.24;Right Foot;25;45+4;01-févr;Mark Flekken;James Maddison;James Maddison;Pass (Live);Destiny Udogie;Pass (Live);;In Game
Brentford;For;1;13/08/2023;Matchweek 1;Home;Bryan Mbeumo;Tottenham;Y;0.79;0.99;Left Foot;13;26;0-1;Guglielmo Vicario;;Mathias Jensen;Fouled;Bryan Mbeumo;Pass (Live);;Penalty Kick
Brentford;For;2;13/08/2023;Matchweek 1;Home;Yoane Wissa;Tottenham;Y;0.17;0.08;Left Foot;14;36;01-janv;Guglielmo Vicario;Rico Henry;Rico Henry;Pass (Live);Rico Henry;Take-On;Deflected;In Game
Brighton;Against;1;12/08/2023;Matchweek 1;Home;Carlton Morris;Luton Town;Y;0.79;0.99;Right Foot;13;81;0-2;Jason Steele;;;Fouled;Carlton Morris;Pass (Live);;Penalty Kick
Brighton;For;1;12/08/2023;Matchweek 1;Home;Solly March;Luton Town;Y;0.33;0.86;Head;7;36;0-0;Thomas Kaminski;Kaoru Mitoma;Kaoru Mitoma;Pass (Live);Mahmoud Dahoud;Pass (Live);;In Game
Brighton;For;2;12/08/2023;Matchweek 1;Home;João Pedro;Luton Town;Y;0.79;0.99;Right Foot;13;71;1-0;Thomas Kaminski;;João Pedro;Fouled;Kaoru Mitoma;Pass (Live);;Penalty Kick
Brighton;For;3;12/08/2023;Matchweek 1;Home;Simon Adingra;Luton Town;N;0.25;0.77;Right Foot;5;85;02-janv;Thomas Kaminski;;;;;;Volley;In Game
Brighton;For;4;12/08/2023;Matchweek 1;Home;Evan Ferguson;Luton Town;N;0.83;0.88;Right Foot;4;90+5;03-janv;Thomas Kaminski;Pervis Estupiñán;Pervis Estupiñán;Pass (Live);Lewis Dunk;Pass (Live);;In Game
Burnley;Against;1;11/08/2023;Matchweek 1;Home;Erling Haaland;Manchester City;Y;0.17;0.62;Left Foot;8;4;0-0;James Trafford;Rodri;Rodri;Pass (Live);Kevin De Bruyne;Pass (Live);Volley;In Game
Burnley;Against;2;11/08/2023;Matchweek 1;Home;Erling Haaland;Manchester City;Y;0.14;0.50;Left Foot;13;36;1-0;James Trafford;Julián Álvarez;Julián Álvarez;Pass (Live);Kyle Walker;Pass (Live);;In Game
Burnley;Against;3;11/08/2023;Matchweek 1;Home;Rodri;Manchester City;Y;0.42;0.93;Right Foot;5;75;2-0;James Trafford;;Nathan Aké;Shot;;;;In Game
Chelsea;Against;1;13/08/2023;Matchweek 1;Home;Luis Díaz;Liverpool;Y;0.51;0.80;Left Foot;11;18;0-0;Robert Sánchez;Mohamed Salah;Mohamed Salah;Pass (Live);Alexis Mac Allister;Pass (Live);;In Game
Chelsea;For;1;13/08/2023;Matchweek 1;Home;Axel Disasi;Liverpool;Y;0.41;0.86;Right Foot;6;37;0-1;Alisson;Ben Chilwell;Ben Chilwell;Pass (Live);Raheem Sterling;Pass (Live);;In Game
Crystal Palace;For;1;12/08/2023;Matchweek 1;Away;Odsonne Édouard;Sheffield Utd;Y;0.64;0.81;Left Foot;4;89;0-0;Wes Foderingham;Jordan Ayew;Jordan Ayew;Pass (Live);Jefferson Lerma;Pass (Live);Volley;In Game
